Speaker_ID,turn_dur,overlap,bc_by_speaker,bc_to_speaker,skew,decision_score,AS
SESS-001_Physical_A,0.393,0.00413,3,10,0.166,0.444,0.178
SESS-001_Physical_B,0.176,0.00267,9,2,0.2666,0.444,0.133
SESS-001_Physical_C,0.21,0.00273,6,0,0.269,0.111,0.4
SESS-002_Physical_A,0.22,0.00525,12,1,0.2333,0.333,0.489
SESS-002_Physical_B,0.216,0.00406,4,2,0.1455,0.167,0.578
SESS-002_Physical_C,0.575,0.01014,1,11,-0.0078,0.5,0.489
SESS-003_Physical_A,0.187,0.00297,2,1,0.8311,0.2,0.6
SESS-003_Physical_B,0.484,0.00951,3,5,-0.0685,0.4,0.022
SESS-003_Physical_C,0.339,0.00395,8,1,-0.1615,0.4,0.333
SESS-004_Physical_A,0.254,0.0027,2,3,-0.1096,0.125,0.343
SESS-004_Physical_B,0.423,0.0027,4,2,0.1335,0.75,0.362
SESS-004_Physical_C,0.175,0.00222,1,0,0.3663,0.125,0.457
SESS-005_Physical_A,0.262,0.00311,7,2,0.0544,0.611,0.438
SESS-005_Physical_B,0.37,0.00404,3,6,0.1682,0.389,0.457
SESS-005_Physical_C,0.153,0.00205,3,2,0.3773,0.0,0.41
SESS-006_Physical_A,0.266,0.00582,8,10,0.1442,0.071,0.343
SESS-006_Physical_B,0.231,0.0047,11,4,-0.1294,0.643,0.229
SESS-006_Physical_C,0.522,0.01105,12,13,0.0784,0.286,0.457
SESS-007_Physical_A,0.433,0.00576,5,13,0.4344,0.0,0.429
SESS-007_Physical_B,0.218,0.0023,14,1,-0.1596,0.769,0.371
SESS-007_Physical_C,0.197,0.00366,3,5,-0.1167,0.231,0.467
SESS-008_Physical_A,0.345,0.00769,9,4,0.0504,0.214,0.171
SESS-008_Physical_B,0.337,0.00948,9,4,0.1014,0.643,0.419
SESS-008_Physical_C,0.37,0.00684,6,5,-0.1113,0.143,0.0
SESS-009_Physical_A,0.458,0.00375,2,1,0.092,0.25,0.286
SESS-009_Physical_B,0.253,0.00391,3,1,0.0731,0.438,0.514
SESS-009_Physical_C,0.132,0.00204,1,0,0.2185,0.312,0.0
SESS-010_Physical_A,0.409,0.00898,13,12,0.0686,0.588,0.6
SESS-010_Physical_B,0.522,0.01189,14,15,-0.2246,0.412,0.257
SESS-010_Physical_C,0.292,0.00479,28,2,0.2791,0.0,0.419
